Matchup,LAA @ SEA
Pitcher,Grayson Rodriguez
Pitcher Team,LAA
Opposing Team,SEA

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,11.0,2.00,="16-48",.333,.500,0.167,1,3,1,4,27.3,6,.418,.918
Batting Second,11.1,1.68,="12-43",.279,.419,0.140,1,3,0,6,20.8,7,.396,.815
Batting Third,12.1,1.38,="16-48",.333,.521,0.188,2,3,0,12,9.6,1,.346,.867
Batting Fourth,11.0,1.55,="11-41",.268,.585,0.317,3,4,0,7,16.3,6,.347,.932
Batting Fifth,10.1,1.45,="12-43",.279,.605,0.326,4,2,0,10,23.9,3,.326,.931
Batting Sixth,10.2,1.03,="6-37",.162,.270,0.108,0,2,1,3,22.7,5,.273,.543
Batting Seventh,9.0,1.67,="9-37",.243,.459,0.216,2,2,0,4,16.3,6,.349,.808
Batting Eighth,9.0,1.67,="13-38",.342,.553,0.211,2,0,1,5,22.0,2,.366,.919
Batting Ninth,9.0,1.44,="11-34",.324,.382,0.058,0,2,0,4,18.4,2,.395,.777

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
